Index,Text,Label
0,I can't believe this just happened!,5
1,You mean the world to me.,2
2,Love is the best feeling.,2
3,"Wow, I didn't see that coming!",5
4,I feel blessed!,1
5,Missing those happy times.,0
6,Today is an amazing day!,1
7,I love you more than words can say.,2
8,Everything feels grey today.,0
9,I can't imagine life without you.,2
10,I'm so grateful for everything!,1
11,I'm so frustrated right now!,3
12,I am so happy right now!,1
13,Love makes everything better.,2
14,All I feel is emptiness.,0
15,I'm about to explode with anger.,3
16,Surprised in the best way possible!,5
17,What a wonderful day!,1
18,People are just the worst sometimes!,3
19,Feeling so down today.,0
20,I can't believe this is happening!,3
21,My heart skips a beat every time I see you.,2
22,Totally caught off guard by this!,5
23,You complete me.,2
24,I wish I could escape this sadness.,0
25,I can't take this anymore!,3
26,Fear is taking over me.,4
27,Things never go my way.,0
28,I'm so scared right now.,4
29,Everything is just perfect.,1
30,This is infuriating!,3
31,The fear is overwhelming.,4
32,This has blown my mind!,5
33,I never expected this outcome!,5
34,This is beyond frustrating.,3
35,Can't stop smiling today!,1
36,Life just feels so unfair right now.,0
37,Love is all we need.,2
38,This is terrifying!,4
39,Happiness is all around!,1
40,I can't stop crying.,0
41,What a shock!,5
42,What a pleasant surprise!,5
43,Falling in love all over again.,2
44,So angry I could scream!,3
45,My heart is so full of love.,2
46,How can people be so inconsiderate?,3
47,"I can't breathe, I'm so scared.",4
48,I'm feeling low.,0
49,Feeling on top of the world!,1
50,This is completely unexpected!,5
51,I can't stop shaking from fear.,4
52,I'm frozen in fear.,4
53,"I don't know what to do, I'm so afraid.",4
54,This is absolutely unacceptable!,3
55,Life is beautiful!,1
56,This is my worst nightmare.,4
57,Why does everything feel so hopeless?,0
58,I'm speechless from this surprise!,5
59,Why does fear control me like this?,4
60,This is absolutely unacceptable!,3
61,How can people be so inconsiderate?,3
62,"Wow, I didn't see that coming!",5
63,So angry I could scream!,3
64,Love makes everything better.,2
65,"I can't breathe, I'm so scared.",4
66,People are just the worst sometimes!,3
67,Missing those happy times.,0
68,I feel blessed!,1
69,Things never go my way.,0
70,I can't believe this is happening!,3
71,My heart is so full of love.,2
72,Feeling so down today.,0
73,I'm so frustrated right now!,3
74,This is infuriating!,3
75,I'm frozen in fear.,4
76,I can't believe this just happened!,5
77,What a wonderful day!,1
78,I wish I could escape this sadness.,0
79,I can't take this anymore!,3
80,The fear is overwhelming.,4
81,"I don't know what to do, I'm so afraid.",4
82,I'm so scared right now.,4
83,You mean the world to me.,2
84,Life is beautiful!,1
85,Totally caught off guard by this!,5
86,Falling in love all over again.,2
87,I'm about to explode with anger.,3
88,Everything feels grey today.,0
89,Happiness is all around!,1
90,I'm speechless from this surprise!,5
91,You complete me.,2
92,Life just feels so unfair right now.,0
93,Why does everything feel so hopeless?,0
94,This is my worst nightmare.,4
95,This is beyond frustrating.,3
96,I'm so grateful for everything!,1
97,Today is an amazing day!,1
98,All I feel is emptiness.,0
99,I can't stop crying.,0
